prompt,completion
punk 808 simple ->," None
None
0:k
1:u,2:k
1:s,3:u,5:u,6:k,7:u
5:t,9:s,11:u,13:t,13:u,14:k,15:u,21:w,29:s,29:r ###"
punk nu rnb ->," None
None
0:k
1:u,2:k
1:s,3:u,5:u,6:k,7:u
5:t,9:s,11:u,13:t,13:u,14:k,15:u,21:z,29:s,29:r ###"
punk acoustic ->," None
0:k
None
1:r,3:r
5:u,7:r
1:z,5:r,9:s,13:r,13:s,15:r,17:s,21:z,25:s,29:u,29:z ###"
punk big room layered ->," None
0:k
None
1:r,3:r
5:u,7:r,9:s
1:z,5:r,13:r,13:s,15:r,17:s,21:z,29:u,29:z ###"
punk 808 simple ->," None
0:k
None
1:r,3:r
1:s,5:u,7:r
5:r,9:s,13:r,13:s,15:r,21:s,25:s,29:s,29:u ###"
punk acoustic ->," None
0:r
2:s
0:k,5:k
4:k,11:k
31:s ###"
punk acoustic ->," None
None
None
None
0:k,0:k,2:s,2:k,4:k,4:k,5:k,6:l,6:s,7:s,8:h,9:z,10:s,11:s,12:s,13:s,14:s
None ###"
punk dark hybrid ->," None
None
None
0:a
0:k,2:s,2:a,4:k,4:a,5:k,6:a,6:s,7:s,9:z,10:s,11:s,12:s,13:s,14:s
None ###"
punk big room layered ->," None
None
2:s
None
0:k,0:k,2:k,4:k,4:k,5:k,6:l,7:s,8:h,9:z,11:s,12:s,13:s
None ###"
punk 808 simple ->," None
None
None
9:s
0:k,0:k,2:k,4:k,4:k,5:k,6:l,6:s,7:s,8:h,10:s,11:s,12:s,13:s,14:s
None ###"
punk deep daft ->," None
None
None
None
0:k,0:k,2:s,2:k,4:k,4:k,5:k,6:a,6:s,7:s,8:h,9:z,10:s,11:s,12:s,13:s,14:s
None ###"
jazz march acoustic ->," None
None
None
None
0:k,0:s,4:s,5:s,6:s,7:s
4:s,8:k,11:s,12:k ###"
jazz march acoustic ->," None
0:s
3:s
None
0:s,13:s
20:s,24:s ###"
funk rock acoustic ->," None
None
None
None
0:k
1:s,2:k,2:k,3:s,4:k,4:k,5:s,6:s,7:s,8:s,9:k,10:y,11:s,12:k,12:k,14:s,14:k,17:z ###"
funk rock dark hybrid ->," None
None
None
None
None
0:k,0:a,1:s,2:k,2:a,3:s,4:s,5:s,6:s,7:k,8:y,9:s,10:k,10:a,12:s,12:a,14:a,15:z ###"
funk rock 808 simple ->," None
None
None
None
0:k,1:s
2:k,2:k,3:s,4:k,4:k,5:s,6:s,7:s,8:s,9:k,10:y,11:s,12:k,12:k,14:s,14:k ###"
rock prog acoustic ->," None
None
None
None
None
0:t,0:h,0:k,1:h,1:s,2:t,3:t,4:s,4:h,5:t,5:h,6:t,7:s,8:t,8:h,9:h,9:s,10:t,11:t,12:s,12:h,13:t,13:h,14:t,15:s ###"
rock prog dark hybrid ->," None
None
None
None
None
0:t,0:k,0:a,1:a,1:s,2:t,3:t,4:s,4:a,5:t,5:a,6:t,7:s,8:t,8:a,9:a,9:s,10:t,11:t,12:s,12:a,13:t,13:a,14:t,15:s ###"
rock prog big room layered ->," None
None
None
None
None
0:t,0:h,0:k,1:h,1:s,2:t,3:t,4:h,4:s,5:t,5:h,6:t,7:s,8:t,8:h,9:h,9:s,10:t,11:t,12:h,12:s,13:t,13:h,14:t,15:s ###"
rock folk acoustic ->," None
None
None
None
None
0:h,0:k,1:j,2:s,3:h,4:h,5:s,6:h,7:k,8:k,12:h,12:s,13:s,14:s,15:s ###"
rock folk dark hybrid ->," None
None
None
None
None
0:k,0:a,1:a,2:s,3:a,4:a,5:s,6:a,7:k,8:k,12:a,12:s,13:s,14:s,15:s ###"
rock folk deep daft ->," None
None
None
None
None
0:h,0:k,1:a,2:s,3:h,4:h,5:s,6:h,7:k,8:k,12:h,12:s,13:s,14:s,15:s ###"
afrobeat acoustic ->," None
None
None
None
None
0:z,0:k,1:z,2:h,2:k,3:k,4:z,4:k,5:z,6:h,7:h,8:h,8:z,9:z,10:h,10:k,11:h,12:z,12:k,13:z ###"
afrobeat dark hybrid ->," None
None
None
None
None
0:k,0:a,1:a,2:z,2:a,3:z,4:a,5:a,6:z,6:a,7:z,8:k,8:a,9:a,10:z,10:a,11:z ###"
afrobeat 808 simple ->," None
None
None
None
None
0:s,0:k,1:s,2:h,2:k,3:k,4:s,4:k,5:s,6:h,7:h,8:s,8:h,9:s,10:h,10:k,11:h,12:s,12:k,13:s ###"
rock acoustic ->," None
None
None
0:k,2:k,4:s,12:s
None
None ###"
funk acoustic ->," None
None
None
None
1:h,2:h,3:h
0:k,4:h,5:h,6:h,7:k,8:h,9:h,10:h,11:h,12:h,13:h,14:h,15:h,16:h ###"
funk dark hybrid ->," 0:a
None
None
None
None
None ###"
afrocuban calypso acoustic ->," None
None
None
None
None
0:h,0:k,1:s,2:k,3:s,4:h,4:k,5:h,6:l,7:s,8:s,8:h,8:h,8:k,9:h,10:k,11:z,12:h,12:k,13:h,14:l,14:z,15:s ###"
afrocuban calypso dark hybrid ->," None
None
None
None
None
0:k,0:a,1:s,2:a,3:s,4:k,4:a,5:a,6:a,7:s,8:s,8:k,8:a,9:a,10:a,11:z,12:k,12:a,13:a,14:z,14:a,15:s ###"
afrocuban calypso 808 simple ->," None
None
None
None
None
0:h,0:k,1:s,2:k,3:s,4:h,4:k,5:h,6:l,7:s,8:s,8:h,8:h,8:k,9:h,10:k,11:s,12:h,12:k,13:h,14:s,14:l,15:s ###"
afrocuban calypso deep daft ->," None
None
None
None
None
0:h,0:k,1:s,2:k,3:s,4:h,4:k,5:h,6:a,7:s,8:s,8:h,8:h,8:k,9:h,10:k,11:z,12:h,12:k,13:h,14:z,14:a,15:s ###"
rock acoustic ->," None
None
None
None
None
0:k,2:k,4:s,5:s,6:k,8:k,10:k,12:s,12:s,13:s,14:k ###"
rock big room layered ->," None
None
None
None
None
0:k,2:k,4:s,5:s,6:k,8:k,10:k,12:s,13:s,14:k ###"
jazz swing acoustic ->," None
None
None
None
None
0:u,0:k,4:u,4:h,6:u,8:u,8:k,10:u,12:u,12:h ###"
jazz swing dark hybrid ->," None
None
None
None
None
0:u,0:k,4:u,4:a,6:u,8:u,8:k,10:u,12:u,12:a ###"
rock rockabilly acoustic ->," None
None
None
None
None
0:k,3:k,4:s,7:s,8:s,10:s,12:s,14:s ###"
jazz linear acoustic ->," None
None
None
None
None
0:k,1:r,1:k,2:h,3:r,5:r,7:r,7:h,9:r,10:r,11:r,11:h,13:r,13:h,15:r,15:h,16:r ###"
jazz linear dark hybrid ->," None
None
None
None
None
0:k,1:r,1:k,2:a,3:r,5:r,7:r,7:a,9:r,10:r,11:r,11:a,13:r,13:a,15:r,15:a,16:r ###"
dance disco acoustic ->," None
None
None
None
None
0:h,0:h,0:k,2:h,4:s,4:k,6:h,7:k,8:h,8:k,9:h,10:k,11:h,12:k,12:s,13:h,14:h,14:k,15:h ###"
dance disco dark hybrid ->," None
None
None
None
None
0:k,0:a,2:a,4:s,4:k,6:a,7:a,8:k,8:a,9:a,10:a,11:a,12:k,12:s,13:a,14:k,14:a,15:a ###"
dance disco big room layered ->," None
None
None
None
None
0:h,0:h,0:k,2:h,4:k,4:s,6:h,7:k,8:h,8:k,9:h,10:k,11:h,12:k,12:s,13:h,14:h,14:k,15:h ###"
dance disco acoustic ->," None
None
None
0:k
4:k
7:s,8:s,12:h,12:k,13:h,14:j,15:h,16:h,17:h,18:h,19:h,20:h,21:h,22:h,23:h,24:h,25:h,26:k,27:h ###"
dance disco dark hybrid ->," None
None
None
0:k
4:k
7:s,8:s,12:k,12:a,13:a,14:a,15:a,16:a,17:a,18:a,19:a,20:a,21:a,22:a,23:a,24:a,25:a,26:a,27:a ###"
dance disco deep daft ->," None
None
None
0:k
4:k
7:s,8:s,12:h,12:k,13:h,14:a,15:h,16:h,17:h,18:h,19:h,20:h,21:h,22:h,23:h,24:h,25:h,26:k,27:h ###"
rock acoustic ->," None
None
None
None
None
0:k,0:k,1:k,2:k,3:h,4:k,4:s,5:h,6:k,7:k,8:k,8:k,9:k,10:h,11:h,12:s,13:k,14:k,15:k ###"
rock dark hybrid ->," None
None
None
None
None
0:k,0:a,1:a,2:a,3:a,4:k,4:s,5:a,6:a,7:a,8:k,8:a,9:a,10:a,11:a,12:s,13:a,14:a,15:a ###"
rock acoustic ->," None
None
None
None
None
0:h,0:k,1:h,2:h,3:h,4:k,4:s,5:h,6:h,7:h,8:h,8:k,9:h,10:k,10:k,11:h,12:k,12:s,13:h,14:k,15:h ###"
rock dark hybrid ->," None
None
None
None
None
0:k,0:a,1:a,2:a,3:a,4:k,4:s,5:a,6:a,7:a,8:k,8:a,9:a,10:k,10:a,11:a,12:k,12:s,13:a,14:a,15:a ###"
jazz swing acoustic ->," None
None
None
0:k
4:l
0:h,3:k,8:h,10:h,12:l,15:h,18:h,23:h,27:h ###"
jazz swing dark hybrid ->," None
None
None
4:a
8:a
1:a,4:a,7:a,12:a,14:a,16:a,19:a,22:a,27:a,31:a ###"
jazz swing deep daft ->," None
None
None
0:k
4:a
0:h,3:k,8:h,10:h,12:a,15:h,18:h,23:h,27:h ###"
jazz swing acoustic ->," None
None
None
0:k
None
None ###"
jazz swing acoustic ->," None
None
None
7:r
12:r,12:h
3:r,3:h,6:r,16:r,20:r,20:h,24:r ###"
jazz swing dark hybrid ->," None
None
None
7:r
12:r,12:a
3:r,3:a,6:r,16:r,20:r,20:a,24:r ###"
jazz swing acoustic ->," None
None
None
0:h,1:s
1:k,5:l,5:k,9:k
0:k,4:k,9:k,12:l,13:l,13:k,17:k,20:l,24:s,27:l ###"
jazz swing dark hybrid ->," None
None
None
0:a,1:s
1:a,4:a,5:k,5:a,9:k
0:k,9:a,12:a,13:k,13:a,17:k,24:s,27:a ###"
jazz swing deep daft ->," None
None
None
0:h,1:s
1:k,5:k,5:a,9:k
0:k,4:k,9:k,12:a,13:k,13:a,17:k,20:a,24:s,27:a ###"
jazz swing acoustic ->," None
None
None
4:s
11:h,12:k
0:k,3:h,4:k,6:l,8:l,8:k,14:l,15:k,16:l,18:h,19:x,22:k,23:y,31:l ###"
jazz swing dark hybrid ->," None
None
None
4:s
11:a,12:a
0:k,3:a,4:a,6:a,8:k,8:a,14:a,15:k,16:a,18:a,19:x,22:k,23:y,31:a ###"
jazz swing deep daft ->," None
None
None
4:s
11:h,12:k
0:k,3:h,4:k,6:a,8:k,8:a,14:a,15:k,16:a,18:h,19:x,22:k,23:y,31:a ###"
jazz swing acoustic ->," None
None
None
None
0:s,2:s
0:k,3:h,4:s,6:s,8:k,8:s,10:s,11:h,12:s,14:s,15:k,18:h,19:s,21:s,23:s ###"
jazz swing dark hybrid ->," None
None
None
None
0:s,2:s
0:k,3:a,4:s,6:s,8:k,8:s,10:s,11:a,12:s,14:s,15:k,18:a,19:s,21:s,23:s ###"
jazz swing acoustic ->," None
None
None
0:k
4:h,4:s,4:k
10:k,12:k,15:k,27:k ###"
jazz swing dark hybrid ->," None
None
None
None
None
0:k,2:a,5:k,6:a,10:s,10:a,14:a,17:k ###"
jazz swing acoustic ->," None
None
None
None
0:l,0:k,4:l,4:s
2:k,7:k,8:l,12:l,12:s,19:k ###"
jazz swing dark hybrid ->," None
None
None
None
0:k,0:a,4:s,4:a
2:k,7:k,8:a,12:a,12:s,19:k ###"
jazz swing acoustic ->," None
None
None
None
0:k,2:k,4:s,6:k
0:s,0:y,1:s,3:k,5:k,8:k,8:k,10:k,12:s,12:k,14:k ###"
jazz swing dark hybrid ->," None
None
None
None
0:k,2:a,4:s,6:a
0:s,0:y,1:s,3:k,5:a,8:k,8:a,10:a,12:a,12:s,14:a ###"
rock acoustic ->," None
None
None
None
0:k,8:h,8:k,10:h,12:h,14:h
1:k,3:h,4:k,5:h,5:s,7:h,12:z,16:k,18:h,19:k,20:h,20:s,22:h,22:k,26:k,28:s,30:k ###"
rock dark hybrid ->," None
None
None
None
7:k,7:a,9:a,11:a,13:a
0:k,2:a,3:k,4:a,4:s,6:a,11:z,15:k,15:a,17:a,18:k,19:a,19:s,21:k,21:a,25:k,27:s,29:k ###"
rock 808 simple ->," None
None
None
None
0:k,8:h,8:k,10:h,12:h,14:h
1:k,3:h,4:k,5:h,5:s,7:h,12:s,16:k,18:h,19:k,20:h,20:s,22:h,22:k,26:k,28:s,30:k ###"
rock acoustic ->," None
None
0:k,2:s,3:s
None
4:s,8:s,9:s,13:s
16:s ###"
rock acoustic ->," None
None
None
None
0:r,0:k,2:r,4:r,4:k
2:s,6:r,6:k,8:r,10:r,10:s,12:r,14:r,18:s ###"
rock acoustic ->," None
0:h
None
4:s
0:k,10:k
1:k,30:k ###"
rock dark hybrid ->," None
0:a
None
4:s
0:k,10:k
1:k,30:k ###"
jazz acoustic ->," None
None
None
0:k,4:h
7:h
15:h,30:h ###"
jazz dark hybrid ->," None
None
0:a
None
7:a
15:a,30:a ###"
jazz acoustic ->," None
None
2:s
0:k,1:s,4:s
None
None ###"
rock acoustic ->," None
None
None
None
0:r,0:k,2:r,2:k,4:r,4:s,6:r
8:r,8:k,12:r,12:s,22:k ###"
jazz acoustic ->," None
1:s
0:s
2:s
14:s
22:s ###"
rock acoustic ->," None
None
2:h
4:h
0:k,3:k,4:s,8:h,10:k,14:k
0:k,6:k,12:s,16:h,17:k,20:k,28:z ###"
rock dark hybrid ->," None
0:a
None
None
0:k,3:k,4:s,10:k,14:k
6:k,12:s,17:k,20:k,28:z ###"
rock 808 simple ->," None
None
2:h
4:h
0:k,3:k,4:s,8:h,10:k,14:k
0:k,6:k,12:s,16:h,17:k,20:k,28:s ###"
rock acoustic ->," None
None
None
None
0:k,0:y
2:s,4:k,4:y,7:s,8:k,8:y,11:s,12:k,12:y,15:s ###"
jazz acoustic ->," None
None
None
None
None
0:r,0:k,2:t,3:t,5:t,6:w,9:t,11:t,12:w,13:t,14:t ###"
jazz big room layered ->," None
None
None
None
None
0:r,0:k,2:t,3:t,5:t,6:l,9:t,11:t,12:l,13:t,14:t ###"
jazz nu rnb ->," None
None
None
None
None
0:r,0:k,2:t,3:t,5:t,6:z,9:t,11:t,12:z,13:t,14:t ###"
jazz acoustic ->," None
None
None
3:t,6:t
0:r,0:k,5:t,9:t
12:t,15:t,28:w,29:t ###"
jazz big room layered ->," None
None
None
3:t,6:t
0:r,0:k,5:t,9:t
12:t,15:t,28:l,29:t ###"
jazz nu rnb ->," None
None
None
3:t,6:t
0:r,0:k,5:t,9:t
12:t,15:t,28:z,29:t ###"
jazz acoustic ->," None
0:t
0:k
1:t,3:t
5:t,7:t
13:t,15:t ###"
rock acoustic ->," None
None
0:k
4:s
0:j,4:j
8:h,12:j,24:j,28:l ###"
rock dark hybrid ->," None
None
0:k,0:a
4:s
None
None ###"
rock deep daft ->," None
None
0:k
4:s,4:a
0:a
8:h,24:a ###"
rock acoustic ->," None
None
None
0:s,1:s
3:s,5:s,6:s,11:t,12:w,13:x,14:x
None ###"
rock big room layered ->," None
None
None
0:s,1:s
3:s,5:s,6:s,11:t,12:l,13:x,14:x
None ###"
rock nu rnb ->," None
None
None
0:s,1:s
3:s,5:s,6:s,11:t,12:z,13:x,14:x
None ###"
rock acoustic ->," None
None
3:s,12:s
None
0:k,4:s,5:s,9:s,13:w
None ###"
rock big room layered ->," None
None
3:s,12:s
None
0:k,4:s,5:s,9:s,13:l
None ###"
rock nu rnb ->," None
None
3:s,12:s
None
0:k,4:s,5:s,9:s,13:z
None ###"
rock acoustic ->," None
None
None
None
1:s,3:s,5:s,7:s,8:z
None ###"
rock 808 simple ->," None
None
None
None
1:s,3:s,5:s,7:s,8:s
None ###"
rock acoustic ->," None
None
None
None
0:s,1:s,2:s,3:t,5:t,7:t,8:x,10:x,11:x,12:u,13:u,14:u
None ###"
rock acoustic ->," None
0:h
None
6:k
0:k,3:k,4:z,10:k,12:s
None ###"
rock dark hybrid ->," None
0:a
None
6:k
0:k,3:k,4:z,10:k,12:s
None ###"
rock 808 simple ->," None
0:h
None
6:k
0:k,3:k,4:s,10:k,12:s
None ###"
rock acoustic ->," None
None
None
None
0:s,1:s,2:s,3:s,4:t,5:t,6:t,7:t,8:x,9:x,10:x,11:x,12:u,13:u,14:u
None ###"
jazz acoustic ->," None
None
None
0:s,1:s,2:s,30:s
3:s,5:s,12:s
6:s,14:s,22:z ###"
jazz 808 simple ->," None
None
None
0:s,1:s,2:s,30:s
3:s,5:s,12:s
6:s,14:s,22:s ###"
jazz acoustic ->," None
None
0:u,0:k,3:u
1:u
5:u
13:u,28:s,31:z ###"
jazz 808 simple ->," None
None
0:u,0:k,3:u
1:u
5:u
13:u,28:s,31:s ###"
rock acoustic ->," None
None
0:k
2:j,5:j,6:l
1:l,4:l,8:j,9:j,11:l
None ###"
rock dark hybrid ->," None
None
0:k,1:a,2:a
None
4:a,8:a,11:a
None ###"
rock acoustic ->," None
None
0:k
4:k,5:h,6:k
8:h,9:k,11:h
0:k,1:k,2:h,12:k,16:h,17:j,19:h ###"
rock dark hybrid ->," None
None
0:k,0:a,1:a
6:a
11:a
2:a,12:k,19:a ###"
rock deep daft ->," None
None
0:k
4:k,5:h,6:k
8:h,9:k,11:h
0:k,1:k,2:h,12:k,16:h,17:a,19:h ###"
rock acoustic ->," None
None
None
0:s,10:s
1:s,3:s,8:s
None ###"
rock acoustic ->," None
None
None
None
0:s,1:s,2:s,3:s,4:t,6:x,7:x,9:u,11:u
None ###"
rock acoustic ->," None
0:r
None
3:k
0:k,4:s,14:k
10:k,12:s,20:k,25:s,28:s ###"
rock big room layered ->," None
0:r
None
3:k,4:s
0:k,14:k
10:k,20:k,25:s ###"
rock acoustic ->," None
None
None
None
0:s,1:s,2:s,3:s,4:t,5:t,6:t,7:t,8:x,9:x,10:x,12:u
None ###"
rock acoustic ->," None
None
None
None
0:k,2:s,3:y,5:s,6:y,16:y,19:k
6:s,8:k,22:k,24:s,26:k,26:y,28:s,29:k,29:y ###"
rock acoustic ->," None
None
0:k
0:y
3:s,4:y,7:s
5:k,11:s,12:y,15:s,26:s,27:y,28:s,29:k,29:y ###"
rock acoustic ->," None
None
0:k,0:y
None
3:s,7:s
None ###"
rock acoustic ->," None
1:s
None
None
None
None ###"
rock acoustic ->," None
None
None
None
17:s
0:k,0:y,4:k,4:y,7:s,8:k,8:y,13:s,15:s,16:s,19:w,22:x,24:u,27:u ###"
rock big room layered ->," None
None
None
None
17:s
0:k,0:y,4:k,4:y,7:s,8:k,8:y,13:s,15:s,16:s,19:l,22:x,24:u,27:u ###"
rock nu rnb ->," None
None
None
None
17:s
0:k,0:y,4:k,4:y,7:s,8:k,8:y,13:s,15:s,16:s,19:z,22:x,24:u,27:u ###"
rock acoustic ->," None
None
None
25:s
0:k,0:y,7:s
4:k,4:y,8:k,8:y,12:k,12:y,15:s,22:s,24:s,26:t,28:x ###"
rock acoustic ->," None
None
1:s
4:s,6:s,7:s
0:s,2:s,3:s
7:s,9:s,24:s,26:s,27:s ###"
rock acoustic ->," None
None
None
None
0:k,0:y,21:s
3:s,4:k,4:y,8:k,8:y,11:s,12:k,12:y,20:s,22:s,24:s,25:t,26:w,28:x,29:x ###"
rock big room layered ->," None
None
None
None
0:k,0:y,21:s
3:s,4:k,4:y,8:k,8:y,11:s,12:k,12:y,20:s,22:s,24:s,25:t,26:l,28:x,29:x ###"
rock nu rnb ->," None
None
None
None
0:k,0:y,21:s
3:s,4:k,4:y,8:k,8:y,11:s,12:k,12:y,20:s,22:s,24:s,25:t,26:z,28:x,29:x ###"
rock acoustic ->," None
0:s
3:s
None
0:k,9:s,12:k,13:s
1:s,5:s,6:k,17:z,20:k,21:z,24:k ###"
rock 808 simple ->," None
0:s
3:s
None
0:k,9:s,12:k,13:s
1:s,5:s,6:k,17:s,20:k,21:s,24:k ###"
jazz acoustic ->," None
None
None
1:r,3:r
2:r,6:r,7:r,13:r
0:r,0:k,4:r,4:z,6:r,8:r,15:r,21:r,26:r,30:r ###"
jazz 808 simple ->," None
None
None
1:r,3:r
2:r,6:r,7:r,13:r
0:r,0:k,4:s,4:r,6:r,8:r,15:r,21:r,26:r,30:r ###"
rock acoustic ->," None
None
None
None
None
0:r,0:k,2:r,4:r,4:s,6:r,8:r,10:r,10:k,12:r,12:s,14:r,14:k ###"
rock acoustic ->," None
0:x
3:x
0:k,4:s
12:k
20:k ###"
rock acoustic ->," None
None
None
None
0:k,2:r,4:r,4:s,6:r,7:s,9:s
0:r,10:z,11:s,12:t,13:t,14:x,16:y,16:r,24:r,26:r,26:k,27:k,28:r,28:s,30:r ###"
rock 808 simple ->," None
None
None
None
0:k,2:r,4:r,4:s,6:r,7:s,9:s
0:r,10:s,11:s,12:t,13:t,14:x,16:y,16:r,24:r,26:r,26:k,27:k,28:r,28:s,30:r ###"
rock acoustic ->," None
0:r
None
4:s
0:h,0:k,7:s,9:s,10:k
11:k ###"
rock dark hybrid ->," None
0:r
None
4:s
0:k,0:a,7:s,9:s,10:k
11:k ###"
rock acoustic ->," None
0:r
None
4:s
0:k,7:s
9:s,10:k,11:k ###"
rock acoustic ->," None
None
None
4:r,4:s,6:r
0:k,7:s,8:r,9:s,10:r,10:k
0:y,16:r,18:r ###"
rock acoustic ->," None
None
None
None
0:k,2:s,4:r
0:r,2:r,6:k,6:r,8:r,10:r,10:s,12:r,13:s,14:r,15:s,16:r,16:s,18:r,20:k ###"
rock acoustic ->," None
0:h
None
0:k
4:k,12:s
12:k,27:k ###"
rock dark hybrid ->," None
0:a
None
0:k
4:k,12:s
12:k,27:k ###"
rock acoustic ->," None
None
None
0:h,0:k,4:s,6:h
2:h,3:k,4:k,7:k
10:h,11:k,12:k,15:k,26:k,26:j,28:h,28:k,30:k ###"
rock dark hybrid ->," None
None
2:a
0:k,0:a,4:s
3:a,4:k,7:a
11:a,12:k,15:a,26:k,28:a,30:k ###"
rock deep daft ->," None
None
None
0:h,0:k,4:s,6:h
2:h,3:k,4:k,7:k
10:h,11:k,12:k,15:k,26:k,26:a,28:h,28:k,30:k ###"
rock acoustic ->," None
None
0:k,2:h,3:k
0:h,4:s
None
None ###"
rock dark hybrid ->," None
None
0:k,2:a,3:a
0:a,4:s
None
None ###"
rock acoustic ->," None
None
None
None
None
0:k,0:x,2:x,3:x,4:k,4:x,4:s,6:x,7:x,8:k,8:x,10:x,11:x,12:k,12:x,12:s,14:x,15:x ###"
rock acoustic ->," None
None
0:h
0:k,2:h,4:s
5:h,6:h
2:h,7:k,14:h,17:h,22:k,25:h,29:h,30:k,31:h ###"
rock dark hybrid ->," None
None
0:a
0:k,2:a,4:s
5:a,6:a
2:a,7:k,14:a,17:a,22:k,25:a,29:a,30:k,31:a ###"
rock acoustic ->," None
None
None
0:h,0:k
1:h,1:k,4:h,5:h,5:s,6:h
3:h,9:h,9:k,10:h,12:h,12:k,13:h,13:s,14:h,18:h,20:k ###"
rock dark hybrid ->," None
None
None
0:k,0:a
1:k,1:a,4:a,5:s,5:a,6:a
3:a,9:k,9:a,10:a,12:k,12:a,13:s,13:a,14:a,18:a,20:k ###"
rock acoustic ->," None
None
None
0:k,4:h,4:s
3:h,6:h,8:h,9:h,13:h
0:h,3:k,7:h,7:k,11:h,11:k,14:k,15:h,16:k,17:h,18:k,21:h,22:k,26:h,26:k,30:h,30:s ###"
rock dark hybrid ->," None
None
0:a
0:k,4:s
3:a,6:a,9:a,13:a
3:k,7:k,7:a,11:k,11:a,14:k,15:a,17:a,18:k,21:a,22:k,26:k,26:a,30:a,30:s ###"
rock acoustic ->," None
None
0:r,3:k
1:r,3:r,4:s
7:r,8:k,21:r
15:r,16:k,29:r ###"
rock acoustic ->," None
None
None
None
None
0:r,0:k,0:y,1:r,3:r,3:k,4:r,4:s,5:r,7:r,7:k,8:r,8:k,11:r,11:k,12:r,12:s,14:r,15:r,15:k ###"
hiphop acoustic ->," None
None
None
4:h,4:s,6:h
0:k,2:h,8:h,10:k
0:y,10:j,12:h,14:k,16:h,26:h,29:k,31:k ###"
hiphop dark hybrid ->," None
None
2:a
4:s,4:a
0:k,8:a,10:k
0:y,12:a,14:k,16:a,29:k,31:k ###"
hiphop deep daft ->," None
None
None
4:h,4:s,6:h
0:k,2:h,8:h,10:k
0:y,10:a,12:h,14:k,16:h,26:h,29:k,31:k ###"
jazz acoustic ->," None
None
1:r
4:r,10:r
7:r,8:r
0:r,0:k,4:s,12:s,14:r,16:r,22:r,27:r ###"
rock acoustic ->," None
None
None
None
4:x,9:u,12:u
0:t,2:t,3:t,5:x,7:x,8:t,8:u,11:u,12:x,13:u,14:u,16:r,16:y,17:r,20:r,21:r,22:r,24:r,25:r,26:r,28:r,29:r,30:r ###"
rock acoustic ->," None
None
None
None
0:r,0:k
4:t,5:t,7:t,8:x,9:x,10:x,12:u,13:u,15:u,16:y,20:r,22:r,23:r,24:r,25:r,27:r,28:r,29:r,31:r ###"
rock acoustic ->," None
None
None
0:k,4:z,5:h,7:h
0:h,2:h,4:k,8:k,9:h,12:w,12:h,15:k
0:z,2:h,4:z,10:h,19:h,20:w,23:k,27:l,27:k,28:h ###"
rock dark hybrid ->," None
None
0:a
0:k,4:z,5:a,7:a
2:a,9:a,12:w,15:k
0:z,2:a,4:z,10:a,19:a,20:w,23:k,27:k,27:a,28:a ###"
rock big room layered ->," None
None
None
0:k,4:z,5:h,7:h
0:h,2:h,4:k,8:k,9:h,12:h,12:l,15:k
0:z,2:h,4:z,10:h,19:h,20:l,23:k,27:l,27:k,28:h ###"
rock 808 simple ->," None
None
None
0:k,4:s,5:h,7:h
0:h,2:h,4:k,8:k,9:h,12:w,12:h,15:k
0:s,2:h,4:s,10:h,19:h,20:w,23:k,27:l,27:k,28:h ###"
rock nu rnb ->," None
None
None
0:k,4:s,5:h,7:h
0:h,2:h,4:k,8:k,9:h,12:h,12:z,15:k
0:s,2:h,4:s,10:h,19:h,20:z,23:k,27:l,27:k,28:h ###"
rock deep daft ->," None
None
None
0:k,4:z,5:h,7:h
0:h,2:h,4:k,8:k,9:h,12:w,12:h,15:k
0:z,2:h,4:z,10:h,19:h,20:w,23:k,27:k,27:a,28:h ###"
hiphop acoustic ->," None
None
None
4:s
0:k,2:h,6:h,7:h,8:h,9:k,10:l,10:k,12:h,15:k
0:h,1:h,3:k,5:k,13:k,14:h,16:y,19:h,21:h,29:h,30:k ###"
hiphop dark hybrid ->," None
None
2:a
4:s,5:a,7:a
0:k,3:a,8:a,9:a,10:k,12:a
0:a,1:a,16:y ###"
hiphop deep daft ->," None
None
None
4:s
0:k,2:h,6:h,7:h,8:h,9:k,10:k,10:a,12:h,15:k
0:h,1:h,3:k,5:k,13:k,14:h,16:y,19:h,21:h,29:h,30:k ###"
hiphop acoustic ->," None
None
None
None
0:k,2:h,2:k,6:h,8:h,9:h,10:h,11:k,12:h,13:k,15:k
0:k,2:h,4:h,14:k,16:l,18:j,20:s,20:k,30:s ###"
hiphop dark hybrid ->," None
None
0:a
2:a
0:k,2:k,2:a,6:a,9:a,11:a,13:a,15:a
14:a,20:s,30:s ###"
hiphop deep daft ->," None
None
None
None
0:k,2:h,2:k,6:h,8:h,9:h,10:h,11:k,12:h,13:k,15:k
0:k,2:h,4:h,14:k,16:a,18:a,20:s,20:k,30:s ###"
hiphop acoustic ->," None
None
None
4:s
0:l,0:k,2:h,4:k,6:h,9:h,10:h
8:h,11:k,13:k,14:k,15:k,18:k,18:y,24:k,27:h,29:h ###"
hiphop dark hybrid ->," None
None
25:a
0:a,4:s
0:k,4:a,11:a
9:a,13:a,15:a,18:k,18:y,26:a ###"
hiphop deep daft ->," None
None
None
4:s
0:k,0:a,2:h,4:k,6:h,9:h,10:h
8:h,11:k,13:k,14:k,15:k,18:k,18:y,24:k,27:h,29:h ###"
